URL,positive_score,negative_score,polarity_score,subjectivity_score,avg_sentence_length,percentage_complex_words,fog_index,avg_word_per_sentence,complex_word_count,total_words,syllable_count_per_word,personal_pronouns,avg_word_length
https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,8,1,0.78,0.03,13.78,0.12,5.56,13.78,39,317,1.5,2,4.5
https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,59,31,0.31,0.07,17.96,0.23,7.28,17.96,318,1365,1.83,3,5.39
https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,39,23,0.26,0.06,18.12,0.32,7.38,18.12,320,1015,2.04,12,6.05
https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,37,71,-0.31,0.11,19.65,0.26,7.96,19.65,264,1002,1.85,5,5.9
https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,22,8,0.47,0.05,16.97,0.21,6.87,16.97,137,645,1.77,6,5.43
https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,86,23,0.58,0.06,20.33,0.28,8.24,20.33,491,1748,1.95,6,5.91
https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,22,35,-0.23,0.06,15.05,0.18,6.09,15.05,164,888,1.63,0,5.19
https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,28,9,0.51,0.05,14.96,0.35,6.12,14.96,243,703,2.12,3,6.38
https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,41,49,-0.09,0.1,15.66,0.29,6.38,15.66,256,877,1.98,2,6.32
https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,62,68,-0.05,0.09,19.09,0.2,7.72,19.09,303,1508,1.62,8,5.26
https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,65,19,0.55,0.06,20.11,0.28,8.16,20.11,377,1327,1.92,2,5.78
https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,83,24,0.55,0.07,20.47,0.22,8.28,20.47,358,1617,1.83,2,5.51
https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,41,13,0.52,0.09,24.0,0.23,9.69,24.0,135,576,1.81,3,5.43
https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,0,1,-1.0,1.0,1.0,0.0,0.4,1.0,0,1,2.0,0,5.0
https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,42,27,0.22,0.06,20.23,0.22,8.18,20.23,257,1153,1.75,7,5.42
https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,42,27,0.22,0.06,20.23,0.22,8.18,20.23,257,1153,1.75,7,5.42
